OBJECTID,X,Y
931,316265.5938,2769180.75
932,316278.5001,2769134.25
933,316297.4063,2769077.5
934,316319.9375,2769029.75
935,316319.9375,2769020.5
936,316314.9687,2769008.25
937,316298.6563,2768973
938,316287.0625,2768932.25
939,316277.7812,2768889
940,316269.8437,2768875.25
941,316260.25,2768867.25
942,316241.6875,2768856
943,316228.7812,2768846.75
944,316220.1875,2768834.75
945,316207.5938,2768792.75
946,316204.9688,2768780.25
947,316200.25,2768757.5
948,316195.9375,2768739.5
949,316189.3125,2768716.5
950,316126.8126,2768694.5
951,316089.9063,2768684
952,316072.9687,2768680.25
953,316036.9375,2768685.25
954,316006.3438,2768692.25
955,315969.2188,2768701
956,315947.0625,2768706.25
957,315913.2501,2768708.5
958,315896.8438,2768715
959,315865.0624,2768731.5
960,315840.3124,2768736.75
961,315795.875,2768740
962,315697.0937,2768738.25
963,315652.0626,2768740.5
964,315626.25,2768744.25
965,315598.7187,2768744.75
966,315592.8438,2768741.75
967,315569.7813,2768730.5
968,315554.75,2768723.5
969,315546.75,2768719.75
970,315540.5937,2768718.25
971,315540.2813,2768718
972,315533.9063,2768718.75
973,315524.7813,2768722.5
974,315500.1875,2768738
975,315475.5,2768747
976,315439.5937,2768756.75
977,315425.2188,2768762
978,315411.2812,2768768.5
979,315392.5,2768777
980,315380.1875,2768782.5
981,315372.1875,2768782.5
982,315361.4375,2768778
983,315349.125,2768769.5
984,315342.6563,2768765.25
985,315332.0001,2768763.25
986,315326.0938,2768764.75
987,315315.3437,2768771.25
988,315267.9688,2768803.5
989,315229.2501,2768822.5
990,315196.2812,2768835
991,315161.1562,2768844.5
992,315150.3438,2768848.25
993,315145.6562,2768847.75
994,315138,2768846
995,315126.7188,2768839.25
996,315115.875,2768835
997,315092.4999,2768826.75
998,315060.7812,2768820
999,315040.375,2768816.5
1000,315020.1563,2768814.5
1001,315009.5624,2768813
1002,314987.2187,2768801.25
1003,314964.6875,2768792.25
1004,314943.625,2768789.75
1005,314910.625,2768790.25
1006,314883.4063,2768790.25
1007,314852.2501,2768792.75
1008,314834.3749,2768795.75
1009,314802.375,2768801
1010,314780.6875,2768801
1011,314765.7813,2768799.25
1012,314757.8125,2768796.75
1013,314750.5625,2768792.25
1014,314733.4688,2768778.25
1015,314709.8437,2768756.5
1016,314695.7813,2768739
1017,314676.6875,2768709.25
1018,314666.1563,2768698.75
1019,314644.125,2768679.5
1020,314637.4376,2768674
1021,314615.375,2768663.75
1022,314593.3125,2768656
1023,314581.0937,2768648.5
1024,314560.9063,2768629.25
1025,314478.7812,2768565.5
1026,314464.6876,2768555.75
1027,314448.1875,2768548.5
1028,314427.9063,2768542
1029,314406.5312,2768540.25
1030,314391.8438,2768543
1031,314380.875,2768545.75
1032,314374.1875,2768550.5
1033,314366.8125,2768558.25
1034,314362.375,2768564
1035,314357.6876,2768572.5
1036,314349.0001,2768594.5
1037,314340.75,2768618.25
1038,314326.6876,2768648.5
1039,314318.4062,2768665.75
1040,314305.3438,2768684.75
1041,314286.125,2768707.5
1042,314259.5937,2768740.25
1043,314242.5312,2768757
1044,314220.2501,2768770.25
1045,314184,2768784.75
1046,314157.875,2768791.5
